"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR36316209",Aug-14-2007,Aug-14-2007,"Merger/Acquisition","Buyer","Kemeta, LLC","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
"IQTR36254668",Aug-13-2007,Dec-05-2007,"Merger/Acquisition","Seller","Dow Chemical Co., Western Canada Caustic Soda Distribution Assets","Univar Canada Ltd.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR35246121",Jun-26-2007,Jun-30-2007,"Merger/Acquisition","Seller","Petroquimica Uniao S.A. (nka:Quattor Químicos Básicos S.A.)","Unipar Participações S.A. (nka:Unipar Carbocloro S.A. (BOVESPA:UNIP6))","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR33089655",Mar-05-2007,Apr-27-2007,"Merger/Acquisition","Buyer","Hyperlast Limited","DuPont de Nemours, Inc. (NYSE:DD)","Vita (Holdings) Limited","-","-","-","-","  290.47 ","-"
"IQTR33089659",Mar-05-2007,Apr-27-2007,"Merger/Acquisition","Buyer","Autothane Limited","DuPont de Nemours, Inc. (NYSE:DD)","British Vita (Lux III) S.à r.l. (nka:Vita (Lux III) S.à r.l.)","-","-","-","-","-","-"
"IQTR29827169",Feb-20-2007,Sep-30-2008,"Buyback","Target","DuPont de Nemours, Inc. (NYSE:DD)",,,"-","-","-","-","  2,000.0 ","-"
"IQTR30742964",Dec-18-2006,Jun-30-2007,"Merger/Acquisition","Buyer","Wolff Walsrode AG (nka:Dow Wolff Cellulosics GmbH)","DuPont de Nemours, Inc. (NYSE:DD)","Bayer Aktiengesellschaft (XTRA:BAYN)","-","-","-","-","  731.41 ","-"
"IQTR30674535",Dec-14-2006,Dec-14-2006,"Merger/Acquisition","Seller","Chrome International South Africa (Pty) Limited","LANXESS Aktiengesellschaft (XTRA:LXS)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  30.27 ","-"
"IQTR30374872",Nov-22-2006,Feb-05-2007,"Merger/Acquisition","Seller","Dow Chemical Co., Brazilian VAM Manufacturing Facility","The JB Group","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR29808386",Oct-05-2006,Oct-02-2006,"Merger/Acquisition","Seller","DH Compounding Company","PolyOne Corporation (NYSE:POL)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  10.2 ","-"
"IQTR29397473",Oct-04-2006,Oct-23-2006,"Merger/Acquisition","Seller","Dendritic NanoTechnologies Inc.","Starpharma Holdings Limited (ASX:SPL)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  7.18 ","-"
"IQTR29394784",Oct-03-2006,Nov-01-2006,"Merger/Acquisition","Seller","SilverStorm Technologies, Inc.","QLogic Corp.","A.G. Edwards Capital, Inc.; Arch Venture Partners, L.P.; Axiom Venture Partners, L.P.; Bay Partners; Castile Ventures; Chevron Technology Ventures L.L.C.; Core Management II Corporation; CrossLink Capital, Inc.; DuPont de Nemours, Inc. (NYSE:DD); W Capital Management, LLC; Wasserstein & Co., L.P. Seller Funds: Core Capital Partners II, L.P.; Wasserstein Ventures II, L.P.","-","-","-","-","  59.4 ","-"
"IQTR28910970",Aug-31-2006,Dec-01-2006,"Merger/Acquisition","Buyer","American Electric Power Co. Inc., Plaquemine Cogeneration Facility","DuPont de Nemours, Inc. (NYSE:DD)","American Electric Power Company, Inc. (NYSE:AEP)","-","-","-","-","  64.0 ","-"
"IQTR37613777",Aug-08-2006,Aug-14-2006,"Merger/Acquisition","Buyer","Styron Asia Limited","DuPont de Nemours, Inc. (NYSE:DD)","Asahi Kasei Corporation (TSE:3407)","-","-","-","-","-","-"
"IQTR28641907",Jul-13-2006,Jul-13-2006,"Merger/Acquisition","Seller","Dow Chemical Co., Smithfield Manufacturing Facility","Alexion Pharmaceuticals, Inc. (NasdaqGS:ALXN)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  13.0 ","-"
"IQTR25875873",Feb-10-2006,Jul-31-2006,"Merger/Acquisition","Seller","Dow Chemical Co., Superabsorbent Business","Degussa AG (nka:Evonik Degussa GmbH)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR23064609",Jul-14-2005,Mar-31-2007,"Buyback","Target","DuPont de Nemours, Inc. (NYSE:DD)",,,"-","-","-","-","  1,022.28 ","-"
"IQTR20386880",Jan-31-2005,Jan-31-2005,"Merger/Acquisition","Buyer","PBBPolisur S.A.","DuPont de Nemours, Inc. (NYSE:DD)","Repsol YPF, S.A. (nka:Repsol, S.A. (BME:REP))","-","-","-","-","  97.5 ","-"
"IQTR13696815",Jan-20-2005,Jan-31-2005,"Merger/Acquisition","Seller","Cargill Dow LLC (nka:NatureWorks LLC)","Cargill, Incorporated","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR13497957",Jan-03-2005,Jun-30-2005,"Merger/Acquisition","Seller","DuPont Dow Elastomers LLC (nka:DuPont Performance Elastomers LLC)","E. I. du Pont de Nemours and Company","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  87.0 ","-"
"IQTR12485806",Nov-04-2004,Dec-29-2004,"Merger/Acquisition","Seller","The Dow Chemical Co., Derakane Epoxy Vinyl Ester Resin Business","Ashland Composite Polymers","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  92.0 ","-"
"IQTR12416728",Oct-28-2004,Oct-28-2004,"Merger/Acquisition","Seller","DNA Research Innovations Limited","Invitrogen Corp. (nka:Life Technologies Corporation)","Advent Venture Partners; Dow Venture Capital; DuPont de Nemours, Inc. (NYSE:DD); Enterprise Venture Capital Trust Plc (nka:Enterprise VCT plc); Esprit Capital Partners (nka:Draper Esprit plc (AIM:GROW)); Foresight 3 VCT plc; Noble Fund Managers Ltd (nka:Amati Global Investors Ltd.); Prelude Trust plc","-","-","-","-","  65.0 ","-"
"IQTR30530988",Jul-31-2004,"-","Merger/Acquisition","Seller","Dow Chemical Co., Bulk Liquid Terminal and Marine Facilities",,"DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR23857902",Jul-29-2004,Jul-29-2004,"Merger/Acquisition","Buyer","Petroquimica Dow S.A.","DuPont de Nemours, Inc. (NYSE:DD)","Empresa Nacional del Petróleo","-","-","-","-","  4.09 ","-"
"IQTR6958912",Sep-12-2003,Feb-01-2004,"Merger/Acquisition","Buyer","Celanese AG, Acrylics Business","DuPont de Nemours, Inc. (NYSE:DD)","Blackstone Crystal Holdings Capital Partners (Cayman) IV Ltd. (nka:Celanese Corporation (NYSE:CE))","-","-","-","-","  166.0 ","-"
"IQTR4280612",Jan-27-2003,Jan-27-2003,"Private Placement","Buyer","Centive, Inc.","BancBoston Ventures, Inc.; DuPont de Nemours, Inc. (NYSE:DD); Infinity Capital, L.L.C.; Polaris Partners; Thomas Weisel Capital Management, LLC; Venture Strategy Partners (VSP) (nka:VSP Capital)",,5,"Series E","  42.0 ","  60.0 ","  18.0 ","  72.3 "
"IQTR1465621",Jan-07-2002,Jan-07-2002,"Private Placement","Buyer","AmberWave Systems Corporation (nka:AmberWave, Inc.)","Adams Capital Management, Inc.; Arch Venture Partners, L.P.; DuPont de Nemours, Inc. (NYSE:DD); Telesoft Partners; The Hillman Company",,3,"Series B","-","-","  25.0 ","  45.75 "
"IQTR1438792",Dec-19-2001,"-","Private Placement","Buyer","Trade-Ranger Inc.","Conoco Inc.; DuPont de Nemours, Inc. (NYSE:DD); Eni S.p.A. (BIT:ENI); Equilon Enterprises LLC; INEXUS Group Limited; Mitsubishi Corporation (TSE:8058); Motiva Enterprises LLC; Phillips Petroleum Company (nka:ConocoPhillips (NYSE:COP)); Repsol YPF, S.A. (nka:Repsol, S.A. (BME:REP)); Shell Internet Ventures BV; Solvay SA (ENXTBR:SOLB); Statoil ASA (nka:Equinor ASA (OB:EQNR)); Unocal Corporation",,1,"Series B","-","-","-","   -  "
"IQTR1033600",Jul-24-2001,Aug-27-2001,"Merger/Acquisition","Buyer","Celotex Corporation, Foam-Insulation Business","DuPont de Nemours, Inc. (NYSE:DD)","Celotex Corporation","-","-","-","-","-","-"
"IQTR28493597",May-08-2001,May-08-2001,"Merger/Acquisition","Seller","Dow Chemical Company, Fluid Bed Driers","Magnesium International Ltd. (nka:Integrated Green Energy Solutions Ltd (ASX:IGE))","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR796442",Mar-29-2001,Jun-01-2001,"Merger/Acquisition","Buyer","Ascot plc","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  729.4 ","-"
"IQTR9261304",Mar-23-2001,Apr-01-2001,"Merger/Acquisition","Buyer","Basell N.V., Polypropylene Manufacturing Plant","DuPont de Nemours, Inc. (NYSE:DD)","LyondellBasell Industries N.V. (NYSE:LYB)","-","-","-","-","-","-"
"IQTR1450636",Mar-06-2001,Jan-02-2002,"Merger/Acquisition","Buyer","Reichhold Inc., Carpet & Latex Paper Businesses","DuPont de Nemours, Inc. (NYSE:DD)","Reichhold LLC 2","-","-","-","-","-","-"
"IQTR9317251",Feb-16-2001,Feb-16-2001,"Private Placement","Buyer","iCARumba, Inc.","Arch Venture Partners, L.P.; DuPont de Nemours, Inc. (NYSE:DD); Excite@Home (nka:At Home Corporation); XDL Intervest Capital Corp. Buyer Funds: XDL Ventures Fund, L.P.",,1,"Venture","-","-","  8.0 ","  8.0 "
"IQTR944753",Feb-09-2001,Apr-30-2001,"Merger/Acquisition","Buyer","EniChem S.p.A., Polyurethane Business","DuPont de Nemours, Inc. (NYSE:DD)","Enichem S.p.A. (nka:Syndial S.p.A.)","-","-","-","-","  307.84 ","-"
"IQTR9328540",Feb-05-2001,Apr-01-2001,"Merger/Acquisition","Seller","The Dow Chemical Company, Global Ethyleneamines Business","Huntsman ICI Holdings LLC (HICI) (nka:Huntsman International Holdings LLC)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR9328586",Feb-05-2001,Feb-12-2001,"Merger/Acquisition","Seller","The Dow Chemical Company, North American GAS/SPEC Business","INEOS Group Limited","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR661280",Jan-01-2001,Jan-01-2001,"Merger/Acquisition","Buyer","Pacific Epoxy Co., Ltd.","DuPont de Nemours, Inc. (NYSE:DD)","Woongjin Chemical Co., Ltd. (nka:Toray Chemical Korea Inc.)","-","-","-","-","  5.52 ","-"
"IQTR9822643",Oct-23-2000,Dec-31-2000,"Merger/Acquisition","Seller","Cochin Pipeline Co.","NOVA Chemicals Corporation","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  119.0 ","-"
"IQTR6815340",Oct-20-2000,Nov-17-2000,"Merger/Acquisition","Buyer","Collaborative BioAlliance, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","Collaborative Group","-","-","-","-","-","-"
"IQTR6815383",Oct-20-2000,Nov-17-2000,"Merger/Acquisition","Buyer","Collaborative Smithfield Corp.","DuPont de Nemours, Inc. (NYSE:DD)","Collaborative Group","-","-","-","-","-","-"
"IQTR7281532",Aug-11-2000,"-","Merger/Acquisition","Buyer","Integral Compounding","DuPont de Nemours, Inc. (NYSE:DD)","Walsin Lihwa Corporation (TSEC:1605)","-","-","-","-","-","-"
"IQTR10066042",Mar-24-2000,May-01-2000,"Merger/Acquisition","Buyer","General Latex and Chemical Corporation","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
"IQTR457523",Feb-07-2000,Mar-31-2000,"Private Placement","Buyer","ChemConnect, Inc.","Abbott Laboratories (NYSE:ABT); Air Liquide Ventures; BASF Aktiengesellschaft (nka:BASF SE (XTRA:BAS)); Bayer Aktiengesellschaft (XTRA:BAYN); Blackstone Crystal Holdings Capital Partners (Cayman) IV Ltd. (nka:Celanese Corporation (NYSE:CE)); Borealis Exploration Limited (OTCPK:BORE.F); BP Amoco plc (nka:BP PLC (LSE:BP.)); Chase H&Q, Investment Arm; Citigroup Inc. (NYSE:C); CK Witco Corporation (nka:LANXESS Solutions US Inc.); DSM NV (nka:Koninklijke DSM N.V. (ENXTAM:DSM)); DuPont de Nemours, Inc. (NYSE:DD); Eastman Chemical Texas City, Inc.; Eastman Ventures; ECT Merchant Investments; Enichem S.p.A. (nka:Syndial S.p.A.); Enron North America Corp.; GE Equity; Goldman Sachs Group, Merchant Banking Division (nka:West Street Capital Partners); Highland Capital Partners; Huntsman Corporation (NYSE:HUN); Hyundai Securities America Inc.; IHS Chemical Week, Inc.; Imperial Chemical Industries PLC (nka:Imperial Chemical Industries Limited); Institutional Venture Partners; Marubeni America Corporation; Mitsubishi Corporation (TSE:8058); Mitsui & Co. Global Investment, Inc.; Morgan Stanley Dean Witter Equity Funding, Inc.; Morgan Stanley Venture Partners; NOVA Chemicals Corporation; Occidental Chemical Corporation; Owens Corning (NYSE:OC); PPG Industries, Inc. (NYSE:PPG); Praxair, Inc. (nka:Linde plc (NYSE:LIN)); Presidio Partners; Presidio Venture Partners (nka:Presidio STX, LLC); Reichhold LLC 2; Repsol, S.A. (nka:Repsol, S.A. (BME:REP)); Rohm and Haas Company; SABIC Americas, Inc.; SAP Ventures (nka:Sapphire Ventures LLC); Saudi Basic Industries Corporation (SASE:2010); Solutia Inc.; Sumitomo Corporation (TSE:8053); UpStart Communications; Vulcan Capital; Weiss, Peck & Greer Venture Partners (nka:Lightspeed Venture Partners); Westlake Chemical Corporation (NYSE:WLK) Buyer Funds: CMEA Life Sciences Fund, L.P.; CMEA Ventures II, L.P.; Highland Capital Partners IV, L.P.; Institutional Venture Partners VIII, L.P.; Morgan Stanley Dean Witter Venture Partners IV, L.P.; Weiss, Peck & Greer Associates V, L.P.",,3,"Series C","-","-","  71.95 ","  106.91 "
"IQTR10204386",Jan-11-2000,Feb-18-2000,"Merger/Acquisition","Buyer","Flexible Products Company","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  160.0 ","-"
"IQTR212278436",Nov-23-1999,Dec-07-1999,"Private Placement","Buyer","ImproveNet Inc.","Arch Venture Partners, L.P.; Armstrong World Industries, Inc. (nka:Armstrong Holdings, Inc.); Clear Fir Partners, L.P.; DuPont de Nemours, Inc. (NYSE:DD); E. I. du Pont de Nemours and Company; Kellett Investment Corporation; MGN Opportunity Group, L.L.C.; Microsoft Corporation (NasdaqGS:MSFT); Owens Corning (NYSE:OC); QBB Management I, LLC; Staenberg Venture Partners; Zero Stage Capital Buyer Funds: ARCH Venture Fund III, L.P.; Staenberg Private Capital, LLC; Zero Stage Capital VI, L.P.",,3,"Series E","-","-","  35.06 ","  74.34 "
"IQTR666006",Aug-04-1999,Feb-06-2001,"Merger/Acquisition","Buyer","Union Carbide Corporation","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  11,509.92 ","-"
"IQTR11314495",Aug-02-1999,Oct-01-1999,"Merger/Acquisition","Buyer","CanStates Holdings, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","TransCanada PipeLines Limited","-","-","-","-","-","-"
"IQTR450898",Jul-31-1999,Dec-31-1999,"Private Placement","Buyer","ChemConnect, Inc.","Accenture Technology Ventures; DuPont de Nemours, Inc. (NYSE:DD); Eastman Ventures; Goldman Sachs Group, Merchant Banking Division (nka:West Street Capital Partners); Highland Capital Partners; IHS Chemical Week, Inc.; Institutional Venture Partners; Presidio Partners; Rohm and Haas Company; Weiss, Peck & Greer Venture Partners (nka:Lightspeed Venture Partners) Buyer Funds: CMEA Life Sciences Fund, L.P.; CMEA Ventures II, L.P.; Highland Capital Partners IV, L.P.; Institutional Venture Partners VIII, L.P.; Weiss, Peck & Greer Associates V, L.P.",,2,"Series B","-","-","  30.63 ","  34.96 "
"IQTR11899320",Jun-18-1999,Jun-18-1999,"Merger/Acquisition","Buyer","PT Pacific Indomas Pratama Indonesia","DuPont de Nemours, Inc. (NYSE:DD)","Salim Group","-","-","-","-","-","-"
"IQTR12762534",Oct-28-1998,Nov-30-1998,"Merger/Acquisition","Seller","Dow-United Technologies Composite Products, Inc.","GKN Aerospace Services Limited","DuPont de Nemours, Inc. (NYSE:DD); United Technologies Corporation (NYSE:UTX)","-","-","-","-","  62.5 ","-"
"IQTR12701520",Aug-31-1998,Sep-25-1998,"Merger/Acquisition","Seller","Dow Chemical Company, Plastic Lined Piping Products Division","Crane Resistoflex, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  24.0 ","-"
"IQTR13374642",Jun-24-1998,Aug-03-1998,"Merger/Acquisition","Seller","Radian International LLC","Dames & Moore Group","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  117.0 ","-"
"IQTR22322579",Jun-01-1998,Jun-01-1998,"Merger/Acquisition","Seller","Chemtech II L.P.",,"DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  200.0 ","-"
"IQTR22322517",Jan-01-1998,"-","Merger/Acquisition","Buyer","Chemtech II L.P.","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  210.0 ","-"
"IQTR1689900",Dec-31-1997,Dec-31-1997,"Merger/Acquisition","Buyer","Hampshire Chemical Corporation","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
"IQTR281150415",Jun-07-1996,Jul-16-1996,"Merger/Acquisition","Seller","Univar Corporation","Koninklijke Vopak N.V. (ENXTAM:VPK)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  529.14 ","-"
"IQTR12072861",Dec-31-1995,"-","Merger/Acquisition","Buyer","Dendritech, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","Michigan Molecular Institute","-","-","-","-","-","-"
"IQTR244990049",Nov-16-1987,Dec-31-1987,"Merger/Acquisition","Buyer","United Agriseeds, Inc.","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  45.0 ","-"
